0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
-469.0612,70.776596,-6.3366666,0.1630105,-12.600813,-15.868874,-12.810249,2.6960037,-7.341574,-0.77659494,0.473641,-0.48216304,-0.9526458,-5.8918214,-4.4486732,-6.4839387,-1.3546541,3.9091644,8.855105,13.2374525,7.453013,-0.6793317,-3.2117991,-5.434897,-1.5003958,1.2099109,2.4240694,-3.8401346,-6.9170322,-4.3794384,106.102905,64.14775,53.40665,30.947884,33.685745,34.083008,25.950735,25.997246,19.537329,16.822561,11.619265,15.900325,13.393321,15.201764,11.888315,19.74663,13.308034,19.118645,24.730425,19.343166,17.415735,14.979146,17.533087,15.285433,14.23904,13.510394,11.463555,11.83057,13.739436,8.424101,5679.3802946844135,1723.9773519935595,7036.871337890625,0.23957429108796297,0.047420785,0.23992194
-531.1397,18.593245,-47.861553,13.93968,-12.523231,-2.51614,-10.947144,6.323017,0.96703506,-0.81979907,1.201135,-8.589093,1.6746268,1.4180275,-0.41828936,13.258889,19.35906,9.963413,5.1632547,1.4150853,-5.699885,-3.7852435,0.9402574,2.0490217,-0.90396464,-5.7831035,-0.98567045,1.0765277,3.2365196,2.466403,90.53072,70.27699,57.698635,47.040375,22.617252,23.42234,24.608963,13.862336,22.52917,16.940563,13.153369,18.460506,15.710394,14.044281,23.959122,19.335188,19.366608,20.407015,22.500767,19.805208,16.224573,13.317021,15.395617,11.045078,16.353317,18.94213,14.644872,17.206266,14.058341,13.523867,3165.3658085065154,1761.6749245108876,5154.279428291763,0.10776741045533643,0.021961004,0.26174462
-482.30533,69.4923,-31.804523,-10.150025,-7.900696,-12.7963505,-9.749096,10.342697,-1.1800898,-0.48538372,-7.1940255,-3.7186503,2.0424328,-1.7932993,0.805005,-0.63611335,4.407238,4.825767,10.209806,10.979014,7.796688,4.736311,0.7018325,1.5975071,5.2313013,2.5893805,0.029624319,-0.3998735,-2.560738,0.5288713,131.6801,61.500454,60.35084,35.150898,29.704252,29.875956,20.389658,19.702066,18.046803,14.705979,17.620296,17.802729,10.399075,13.966924,11.449028,13.092785,14.6507845,16.766453,15.290814,14.619814,13.104732,11.931876,13.620654,8.318973,9.808478,7.880171,8.920018,8.989369,8.586016,7.4100966,2510.461547164479,2378.5567728336796,4074.721532410093,0.08379291437064965,0.022709744,0.40617183
-492.56552,12.380517,-58.53996,9.534857,-13.557279,-6.642975,-15.766503,18.966206,1.8917881,-4.7053857,-3.825103,-7.4363127,-1.1820655,-2.898959,-1.8223636,11.237976,27.757523,20.185093,7.1551914,-0.7522606,-8.241926,-4.857771,-1.1403072,6.1831284,7.5541673,-7.6408906,-9.23026,-6.9319997,8.038223,6.372893,92.143974,67.074425,51.08557,45.540215,29.87556,18.558746,25.544252,22.421581,18.600859,17.61262,12.166609,19.761879,16.661087,16.041622,18.01272,20.823122,23.803476,21.733376,19.051266,21.125223,22.446268,17.31055,14.677106,16.599417,14.572661,14.130249,11.755178,14.412427,16.232458,12.454388,3293.7391856323793,2255.776352803455,5454.495246338457,0.1110256398636891,0.026832653,0.2661737
-532.2486,33.489822,-25.325655,1.2127362,-19.660904,5.798974,-3.8105555,0.4670305,0.9727129,4.974966,-2.9013112,1.9508616,0.5269057,-5.8288336,-1.2494057,-6.803656,-0.07899737,3.1438375,7.107093,9.673328,10.683733,2.288962,-4.2632194,-3.5794787,-1.7152188,2.9825685,2.8796477,3.089359,1.0128218,-4.8344426,123.93297,47.291763,62.79837,31.897842,27.374792,25.087332,19.505272,17.267143,25.518099,14.869745,36.966106,17.088816,13.981578,11.563328,13.721604,16.28749,11.830507,10.615748,21.849909,19.740143,16.753168,17.61474,18.743145,16.407158,10.681231,14.527052,11.633261,8.290695,11.101955,15.713653,5140.314524239763,2990.255060254973,8057.215006888051,0.20439158570185614,0.020482522,0.3001066
-577.5489,43.483414,-9.576527,2.2014053,-12.255454,6.621712,-7.433657,-1.9611782,-7.4314117,-1.5172087,-1.7653961,-2.2406929,-6.3193727,-3.2236302,-1.1287545,-5.7397904,0.60862136,-2.9083657,1.6381745,5.470626,7.6625504,2.108754,0.12908964,1.6387867,-1.5453991,-2.3223615,2.2743518,1.1451929,-0.7860285,-1.6888933,142.0113,56.924892,69.34547,45.839577,39.781666,22.461044,21.676777,16.858446,19.470036,10.617424,30.31582,14.012017,16.273737,11.491577,9.483008,13.929902,9.033847,10.028599,13.67558,13.021709,15.4413395,13.393969,13.871861,11.1011505,11.813479,6.9342947,10.150831,7.0045943,6.6410275,9.248934,4846.018284888474,2540.6003915087235,6942.734352341938,0.18813669156032484,0.017663693,0.35333693
-543.929,21.287188,-52.01687,7.272614,-25.734081,-22.055555,-7.341584,1.2335917,-9.15558,2.6340933,-8.999927,-4.1700597,-6.739282,-11.368308,-2.8857563,-0.80080086,3.513982,5.244791,13.034747,10.975664,6.5386395,2.8046727,-2.4404857,-4.8438244,-1.280699,-2.950482,2.2196941,-3.7410715,-5.1387177,-2.5437045,145.66447,34.148262,75.893875,18.885212,24.645424,27.18209,26.148726,18.188503,15.251062,12.885811,15.221287,18.500374,14.175021,18.009562,18.88656,16.387842,15.682939,18.214281,22.41537,17.623,22.593464,22.524183,20.848295,16.500864,16.295305,14.963018,15.353876,14.786776,14.1576,14.456403,2439.4467111840895,1765.8444261020875,3883.104451497396,0.07753951461226852,0.024377523,0.24498254
-505.04706,9.650764,-68.19864,9.513703,-11.925301,-17.55635,-3.5758717,-2.1242635,-3.2940936,3.337991,-6.5071836,-3.5592995,-9.672893,-11.72361,1.0991201,5.093918,8.968081,5.978185,9.670626,7.7474422,0.085191056,-0.08171914,-3.7110825,-1.9528658,0.85064673,-1.0737373,0.36318532,-6.0764318,-5.2771564,-2.8342004,100.242546,33.52863,65.74701,28.939198,27.58403,21.183039,22.855297,16.033094,18.460278,17.997305,23.51844,13.890976,16.729555,18.25781,15.311528,14.672734,18.002604,18.550331,20.365383,19.199774,20.570183,19.831139,17.228811,11.729821,14.608601,13.716319,13.107102,14.8937845,12.6218405,13.33241,3006.7079231215107,1907.9066547014688,4515.627605677204,0.09948475565545244,0.022429552,0.26140556
-514.9881,49.13929,-26.160444,-30.367472,-9.184466,-4.7550197,-19.935108,-18.827513,-30.96155,-10.613222,-16.388708,-0.54250264,-8.119197,4.388812,-0.6141176,-1.7984684,-3.763172,-6.3483,-4.5130396,-5.0721126,-5.1231217,-3.7147086,-4.598515,-3.1936624,-1.2614517,1.0960553,-0.3083867,1.2718444,-3.251344,-1.2451959,139.47891,59.424816,54.978256,49.30641,36.765564,31.706692,27.44783,19.481516,19.522238,17.498621,22.152586,20.565996,16.211802,19.411549,16.101055,13.688622,13.232424,10.15416,11.030782,8.311693,8.43485,10.170072,9.857254,7.6492515,7.6125417,8.098316,9.127096,10.035213,7.35098,6.7610493,1401.1901587988382,844.9425994493279,2288.1392045454545,0.30619229403409093,0.005672762,0.2991318
-370.3333,-23.01847,-19.116621,-13.009428,-11.779711,2.9983807,-10.282293,0.3492089,-3.955305,2.088214,-11.570102,4.442034,8.766909,15.621746,0.70650244,-5.869104,-3.3807292,3.5983791,-4.402585,-4.1661,0.102920204,0.6928974,-4.0579805,2.9320436,3.395721,3.9509401,2.5369859,1.1825025,-2.5006661,1.928892,198.99261,54.992317,43.376247,32.8078,28.471426,23.921654,18.56988,13.551871,14.850283,9.270304,14.740989,15.666761,21.006685,21.410236,21.827478,19.462605,13.404832,14.334645,12.407856,12.890142,14.432728,12.939286,16.29354,14.94557,8.660932,8.271964,13.243055,17.773466,13.561969,11.080695,1695.7743784814734,845.432572492711,2636.434659090909,0.31623757102272726,0.03084608,0.2958737
